year,month,total_orders,gross_sales,discounts,returns,total_sales
2022,January,87,7811.75,-261.97,-1250.35,6299.43
2022,February,63,6523.7,-288.7,-38.7,6196.3
2022,March,99,13075.5,-439.85,-981.0,11654.65
2022,April,92,6977.0,-285.4,-10.0,6681.6
2022,May,96,10082.25,-460.9,-173.35,9448.0
2022,June,85,7321.75,-186.02,-165.4,6970.33
2022,July,94,9739.2,-447.07,-908.75,8383.38
2022,August,105,8839.5,-201.67,-84.37,8553.46
2022,September,88,9077.45,-354.89,-853.35,7869.21
2022,October,97,9132.25,-279.42,-1572.55,7280.28
2022,November,272,23997.9,-776.84,-364.51,22856.55
2022,December,342,31183.9,-2269.51,-1311.18,27603.21
